                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1707,                 3.2779,                 1.8798,                 1.3124,                0.79415,                0.66564,                0.67625,                0.50976,                0.78011,                0.65242,                0.65864,                0.40046,                 1.2521,                 2.7363,                 1.5223,                 1.1052,               0.070162,              0.0033153,              0.0033153
                      2,                 1.0884,                 2.6204,                  1.197,                 1.2203,                0.87936,                0.54685,                0.66814,                 0.5111,                0.88153,                0.54726,                0.65221,                0.39951,                 1.2457,                 2.6587,                 1.5231,                 1.0512,               0.040129,              0.0066157,              0.0066157
                      3,                 1.1136,                 2.5848,                 1.1317,                 1.2172,                0.78355,                0.65129,                0.68294,                0.51782,                0.77414,                0.64025,                 0.6563,                0.39726,                 1.1961,                  2.649,                 1.3772,                  1.048,               0.010063,              0.0098832,              0.0098832
                      4,                 1.1204,                 2.5572,                 1.1084,                 1.2301,                0.78261,                0.67946,                0.69433,                0.52636,                0.76323,                0.66628,                0.67023,                0.39649,                 1.1934,                 2.6231,                 1.2045,                 1.0685,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.0937,                 2.4898,                 1.0583,                 1.2156,                  0.899,                0.54199,                0.69199,                0.52649,                0.90197,                 0.5408,                0.67367,                0.40658,                   1.25,                 2.6075,                 1.4238,                 1.1065,               0.009802,               0.009802,               0.009802
                      6,                 1.0774,                 2.4329,                 1.0182,                 1.2074,                0.78162,                0.62305,                0.65805,                0.50694,                0.78224,                0.62286,                0.64555,                0.40243,                 1.2957,                 2.6742,                 1.3606,                 1.1674,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.0588,                  2.416,                0.98967,                 1.2036,                0.78813,                0.68465,                0.70903,                0.53957,                0.79478,                0.66876,                 0.6881,                0.43372,                 1.2202,                 2.4425,                 1.2339,                 1.1113,               0.009703,               0.009703,               0.009703
                      8,                 1.0425,                 2.3775,                  0.965,                 1.1935,                0.78018,                0.68324,                0.70269,                0.53445,                0.77771,                0.66467,                0.67822,                0.41879,                 1.1663,                 2.4657,                 1.1021,                 1.0792,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.0287,                 2.3418,                0.95037,                 1.1887,                0.80888,                0.69768,                0.72596,                0.54642,                0.79929,                0.68533,                0.71046,                0.45675,                 1.1431,                 2.3372,                  1.058,                 1.0349,               0.009604,               0.009604,               0.009604
                     10,                 1.0209,                 2.3392,                0.93475,                 1.1857,                0.84645,                0.64662,                0.70784,                0.54484,                0.84904,                 0.6421,                0.69641,                0.44401,                  1.092,                 2.3669,                 1.1512,                 1.0051,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.0124,                 2.3177,                0.91854,                 1.1779,                 0.9029,                0.55487,                0.69613,                0.53125,                 0.9029,                0.55487,                0.68253,                 0.4167,                 1.1933,                 2.4668,                 1.2772,                 1.0706,               0.009505,               0.009505,               0.009505
                     12,                   1.01,                 2.2879,                0.91302,                 1.1819,                0.82421,                0.67888,                0.71104,                0.55144,                0.81801,                0.66607,                0.68791,                0.44295,                   1.12,                 2.3993,                 1.0825,                 1.0401,              0.0094555,              0.0094555,              0.0094555
                     13,                0.99678,                 2.2697,                0.90418,                 1.1767,                0.84506,                0.62156,                0.70661,                0.53748,                0.86226,                0.60453,                0.68795,                0.43131,                  1.128,                 2.4012,                 1.0705,                 1.0393,               0.009406,               0.009406,               0.009406
                     14,                0.98205,                 2.2476,                0.88674,                 1.1717,                0.86316,                0.66118,                0.73512,                0.55743,                0.85619,                0.65967,                0.71814,                0.45641,                 1.1061,                 2.3007,                 1.0613,                   1.01,              0.0093565,              0.0093565,              0.0093565
                     15,                0.99135,                 2.2648,                0.88259,                 1.1711,                0.92766,                0.56089,                0.71282,                0.55497,                0.92142,                0.55864,                0.69391,                0.45702,                 1.0858,                 2.3245,                 1.1203,                0.99038,               0.009307,               0.009307,               0.009307
                     16,                0.97866,                 2.2551,                0.86537,                 1.1662,                0.83402,                0.67076,                0.72263,                 0.5586,                0.83348,                0.65825,                0.70883,                0.45925,                 1.0819,                 2.3201,                 1.0806,                0.99517,              0.0092575,              0.0092575,              0.0092575
                     17,                0.97085,                 2.2147,                0.85775,                 1.1614,                0.82932,                0.67372,                0.72215,                0.54788,                0.82572,                0.66941,                0.70464,                0.45788,                 1.1167,                 2.3432,                 1.0118,                 1.0431,               0.009208,               0.009208,               0.009208
